customer_number,customer_register_time,platform,last_login,total_purchase,redeemed_amount,lost,gap_less_than_2_weeks,churned,censored,event_time,event_observed,platform_encoded
120,2023-04-09,Referral,2023-12-22,9,20,False,False,False,True,257,False,1
121,2023-06-21,Mobile,2023-11-29,83,0,False,False,False,False,161,True,0
122,2023-12-26,Mobile,2024-05-12,1,0,False,False,False,False,138,True,0
123,2023-08-02,Web,2023-12-13,115,0,False,False,False,False,133,True,2
124,2023-02-04,Mobile,2023-11-15,1,50,False,False,False,True,284,False,0
125,2023-08-15,Mobile,2024-08-11,42,50,False,False,False,True,362,False,0
126,2023-04-11,Mobile,2023-12-23,1,0,False,False,False,False,256,True,0
127,2023-05-11,Mobile,2023-09-27,80,0,True,False,False,False,139,True,0
128,2023-09-14,Mobile,2024-08-14,3,0,False,False,False,False,335,True,0
129,2023-01-05,Mobile,2023-01-20,1,0,True,False,False,False,15,True,0
130,2023-08-06,Web,2024-05-28,66,0,False,False,False,False,296,True,2
131,2023-09-12,Referral,2024-02-11,3,0,False,False,False,False,152,True,1
132,2023-12-25,Mobile,2024-11-12,47,0,False,False,False,False,323,True,0
133,2023-10-10,Web,2024-01-02,41,0,False,False,False,False,84,True,2
134,2023-07-26,Web,2024-02-06,27,0,False,False,False,False,195,True,2
135,2023-01-15,Mobile,2023-12-29,14,0,False,False,False,False,348,True,0
136,2023-12-12,Referral,2024-01-15,74,50,False,False,False,True,34,False,1
137,2023-02-11,Web,2024-02-09,61,0,False,False,False,False,363,True,2
138,2023-06-28,Mobile,2024-02-16,16,0,False,False,False,False,233,True,0
139,2023-03-04,Web,2023-05-31,7,0,True,False,False,False,88,True,2
140,2023-12-18,Mobile,2024-05-20,9,0,False,False,False,False,154,True,0
141,2023-08-19,Referral,2024-02-28,7,10,False,False,False,True,193,False,1
142,2023-08-29,Mobile,2023-09-23,23,0,True,False,False,False,25,True,0
143,2023-02-21,Web,2023-04-03,60,20,True,False,False,True,41,False,2
144,2023-04-06,Mobile,2023-12-12,44,20,False,False,False,True,250,False,0
145,2023-08-10,Web,2024-05-23,47,0,False,False,False,False,287,True,2
146,2023-08-19,Mobile,2023-12-03,17,0,False,False,False,False,106,True,0
147,2023-08-25,Mobile,2024-06-18,11,0,False,False,False,False,298,True,0
148,2023-05-23,Mobile,2024-01-14,42,20,False,False,False,True,236,False,0
149,2023-06-20,Web,2024-05-05,47,0,False,False,False,False,320,True,2
150,2023-01-29,Referral,2023-12-25,35,50,False,False,False,True,330,False,1
151,2023-02-05,Mobile,2023-11-24,0,0,False,False,False,False,292,True,0
152,2023-01-13,Web,2023-12-19,26,0,False,False,False,False,340,True,2
153,2023-06-09,Mobile,2024-02-13,12,0,False,False,False,False,249,True,0
154,2023-11-23,Mobile,2024-05-22,6,0,False,False,False,False,181,True,0
155,2023-07-06,Mobile,2024-02-08,35,0,False,False,False,False,217,True,0
156,2023-08-31,Mobile,2024-08-27,9,0,False,False,False,False,362,True,0
157,2023-03-27,Mobile,2023-07-11,73,0,True,False,False,False,106,True,0
158,2023-10-11,Web,2024-07-27,10,0,False,False,False,False,290,True,2
159,2023-03-07,Referral,2023-04-02,24,0,True,False,False,False,26,True,1
160,2023-06-19,Mobile,2023-07-12,52,0,True,False,False,False,23,True,0
161,2023-02-14,Web,2023-12-02,15,0,False,False,False,False,291,True,2
162,2023-03-03,Mobile,2023-12-08,52,10,False,False,False,True,280,False,0
163,2023-05-14,Referral,2023-10-12,38,0,True,False,False,False,151,True,1
164,2023-10-11,Referral,2023-11-24,76,0,False,False,False,False,44,True,1
165,2023-01-28,Web,2023-07-18,11,0,True,False,False,False,171,True,2
166,2023-04-18,Web,2023-07-22,3,0,True,False,False,False,95,True,2
167,2023-02-13,Mobile,2023-04-30,16,0,True,False,False,False,76,True,0
168,2023-12-06,Web,2024-09-18,46,20,False,False,False,True,287,False,2
169,2023-10-13,Referral,2024-09-16,17,0,False,False,False,False,339,True,1
170,2023-11-27,Web,2024-04-19,9,50,False,False,False,True,144,False,2
171,2023-05-08,Web,2024-01-06,0,0,False,False,False,False,243,True,2
172,2023-12-14,Mobile,2024-03-05,11,20,False,False,False,True,82,False,0
173,2023-08-19,Web,2024-03-09,37,0,False,False,False,False,203,True,2
174,2023-07-09,Mobile,2023-07-30,4,0,True,False,False,False,21,True,0
175,2023-08-13,Mobile,2024-03-22,12,0,False,False,False,False,222,True,0
176,2023-10-10,Web,2024-05-30,0,0,False,False,False,False,233,True,2
177,2023-05-01,Web,2024-04-09,38,20,False,False,False,True,344,False,2
178,2023-04-26,Mobile,2023-09-15,63,10,True,False,False,True,142,False,0
179,2023-08-21,Web,2024-01-19,25,0,False,False,False,False,151,True,2
180,2023-09-16,Mobile,2024-04-17,0,0,False,False,False,False,214,True,0
181,2023-12-25,Mobile,2024-06-04,7,0,False,False,False,False,162,True,0
182,2023-07-17,Mobile,2023-12-21,17,50,False,False,False,True,157,False,0
183,2023-05-17,Referral,2024-04-29,26,0,False,False,False,False,348,True,1
184,2023-11-14,Referral,2024-10-13,20,10,False,False,False,True,334,False,1
185,2023-06-14,Referral,2024-06-10,74,0,False,False,False,False,362,True,1
186,2023-08-13,Web,2024-08-03,83,10,False,False,False,True,356,False,2
187,2023-11-03,Web,2024-04-18,3,0,False,False,False,False,167,True,2
188,2023-08-22,Web,2024-06-28,4,0,False,False,False,False,311,True,2
189,2023-06-21,Referral,2023-10-04,13,0,True,False,False,False,105,True,1
190,2023-06-01,Referral,2024-04-27,16,0,False,False,False,False,331,True,1
191,2023-11-11,Referral,2024-10-07,26,0,False,False,False,False,331,True,1
192,2023-06-09,Web,2023-11-15,44,10,False,False,False,True,159,False,2
193,2023-04-06,Referral,2023-04-20,4,0,True,False,False,False,14,True,1
194,2023-08-21,Mobile,2024-08-12,48,50,False,False,False,True,357,False,0
195,2023-06-29,Web,2024-01-02,28,0,False,False,False,False,187,True,2
196,2023-04-23,Mobile,2023-09-08,118,0,True,False,False,False,138,True,0
197,2023-11-14,Web,2023-11-24,31,50,False,True,True,True,10,False,2
198,2023-02-21,Mobile,2024-01-24,37,0,False,False,False,False,337,True,0
199,2023-09-25,Web,2024-08-27,6,0,False,False,False,False,337,True,2
200,2023-10-22,Mobile,2024-07-10,43,0,False,False,False,False,262,True,0
201,2023-04-23,Mobile,2023-11-24,2,50,False,False,False,True,215,False,0
202,2023-04-11,Referral,2023-06-05,32,10,True,False,False,True,55,False,1
203,2023-04-23,Mobile,2023-09-21,1,10,True,False,False,True,151,False,0
204,2023-03-22,Mobile,2023-08-01,3,50,True,False,False,True,132,False,0
205,2023-07-06,Referral,2024-03-24,3,0,False,False,False,False,262,True,1
206,2023-04-23,Referral,2023-06-17,1,0,True,False,False,False,55,True,1
207,2023-01-02,Web,2023-06-09,11,0,True,False,False,False,158,True,2
208,2023-05-10,Mobile,2023-07-23,155,10,True,False,False,True,74,False,0
209,2023-08-08,Web,2024-05-14,12,10,False,False,False,True,280,False,2
210,2023-02-23,Web,2023-12-03,42,0,False,False,False,False,283,True,2
211,2023-12-09,Mobile,2024-10-18,4,0,False,False,False,False,314,True,0
212,2023-08-12,Referral,2023-12-28,18,20,False,False,False,True,138,False,1
213,2023-08-13,Web,2024-03-24,6,0,False,False,False,False,224,True,2
214,2023-05-06,Referral,2023-10-20,6,0,True,False,False,False,167,True,1
215,2023-05-10,Referral,2023-09-27,3,0,True,False,False,False,140,True,1
216,2023-02-22,Referral,2023-04-24,16,50,True,False,False,True,61,False,1
217,2023-06-21,Web,2023-12-19,2,0,False,False,False,False,181,True,2
218,2023-08-06,Referral,2023-12-03,72,0,False,False,False,False,119,True,1
219,2023-06-09,Web,2023-11-09,17,0,False,False,False,False,153,True,2
220,2023-07-17,Mobile,2024-03-18,54,0,False,False,False,False,245,True,0
221,2023-09-04,Web,2024-01-09,116,0,False,False,False,False,127,True,2
222,2023-11-20,Web,2024-09-11,33,20,False,False,False,True,296,False,2
223,2023-07-22,Mobile,2024-06-17,69,0,False,False,False,False,331,True,0
224,2023-07-03,Mobile,2023-09-14,4,20,True,False,False,True,73,False,0
225,2023-05-03,Web,2024-03-16,53,0,False,False,False,False,318,True,2
226,2023-09-12,Web,2023-11-18,9,50,False,False,False,True,67,False,2
227,2023-10-21,Mobile,2024-06-02,19,0,False,False,False,False,225,True,0
228,2023-10-07,Web,2023-10-27,31,0,True,False,False,False,20,True,2
229,2023-11-21,Referral,2024-02-11,70,0,False,False,False,False,82,True,1
230,2023-04-08,Web,2023-08-12,72,0,True,False,False,False,126,True,2
231,2023-07-17,Web,2024-04-04,2,0,False,False,False,False,262,True,2
232,2023-08-28,Web,2024-04-05,13,0,False,False,False,False,221,True,2
233,2023-05-24,Mobile,2023-09-19,47,0,True,False,False,False,118,True,0
234,2023-04-07,Web,2023-09-04,36,20,True,False,False,True,150,False,2
235,2023-07-20,Web,2024-03-17,0,0,False,False,False,False,241,True,2
236,2023-05-04,Referral,2023-08-02,17,0,True,False,False,False,90,True,1
237,2023-07-06,Mobile,2023-12-24,53,0,False,False,False,False,171,True,0
238,2023-11-22,Web,2024-04-03,40,0,False,False,False,False,133,True,2
239,2023-12-15,Mobile,2024-06-01,15,0,False,False,False,False,169,True,0
240,2023-09-16,Referral,2024-06-23,39,0,False,False,False,False,281,True,1
241,2023-05-28,Web,2024-02-13,24,0,False,False,False,False,261,True,2
242,2023-09-09,Web,2024-01-23,73,0,False,False,False,False,136,True,2
243,2023-12-12,Mobile,2024-02-12,26,10,False,False,False,True,62,False,0
244,2023-05-27,Mobile,2024-02-12,15,0,False,False,False,False,261,True,0
245,2023-05-28,Mobile,2023-10-20,59,0,True,False,False,False,145,True,0
246,2023-12-18,Web,2024-06-13,1,50,False,False,False,True,178,False,2
247,2023-07-18,Web,2024-01-13,69,0,False,False,False,False,179,True,2
248,2023-11-04,Mobile,2024-06-04,35,0,False,False,False,False,213,True,0
249,2023-05-08,Web,2023-12-02,84,20,False,False,False,True,208,False,2
250,2023-02-08,Mobile,2023-02-19,8,0,True,True,False,False,11,True,0
251,2023-12-04,Mobile,2024-01-28,35,0,False,False,False,False,55,True,0
252,2023-12-26,Web,2024-09-14,49,0,False,False,False,False,263,True,2
253,2023-05-09,Referral,2023-11-07,36,0,False,False,False,False,182,True,1
254,2023-09-24,Referral,2023-10-29,7,20,True,False,False,True,35,False,1
255,2023-05-31,Mobile,2024-05-25,9,10,False,False,False,True,360,False,0
256,2023-10-25,Web,2024-09-11,25,0,False,False,False,False,322,True,2
257,2023-04-09,Web,2023-09-14,17,50,True,False,False,True,158,False,2
258,2023-09-20,Mobile,2023-11-18,39,0,False,False,False,False,59,True,0
259,2023-09-09,Web,2024-02-16,14,0,False,False,False,False,160,True,2
260,2023-05-24,Referral,2023-07-11,58,50,True,False,False,True,48,False,1
261,2023-12-12,Web,2024-03-06,16,0,False,False,False,False,85,True,2
262,2023-04-22,Mobile,2023-10-09,1,0,True,False,False,False,170,True,0
263,2023-03-01,Web,2023-04-04,0,0,True,False,False,False,34,True,2
264,2023-01-02,Mobile,2023-11-24,31,50,False,False,False,True,326,False,0
265,2023-10-31,Web,2024-03-19,23,0,False,False,False,False,140,True,2
266,2023-09-11,Mobile,2023-09-29,23,0,True,False,False,False,18,True,0
267,2023-05-20,Web,2024-05-15,46,0,False,False,False,False,361,True,2
268,2023-02-06,Referral,2023-05-27,14,0,True,False,False,False,110,True,1
269,2023-06-09,Web,2024-06-06,161,0,False,False,False,False,363,True,2
270,2023-01-09,Referral,2023-11-27,87,50,False,False,False,True,322,False,1
271,2023-08-21,Referral,2023-11-08,0,10,False,False,False,True,79,False,1
272,2023-04-09,Web,2023-07-01,67,50,True,False,False,True,83,False,2
273,2023-05-27,Mobile,2023-12-11,34,0,False,False,False,False,198,True,0
274,2023-10-31,Web,2024-02-08,20,0,False,False,False,False,100,True,2
275,2023-07-27,Referral,2023-09-09,26,0,True,False,False,False,44,True,1
276,2023-05-11,Mobile,2024-01-26,55,20,False,False,False,True,260,False,0
277,2023-06-01,Web,2023-09-20,90,50,True,False,False,True,111,False,2
278,2023-02-23,Web,2023-03-16,24,50,True,False,False,True,21,False,2
279,2023-04-30,Web,2023-05-19,6,0,True,False,False,False,19,True,2
280,2023-06-10,Referral,2024-03-12,30,0,False,False,False,False,276,True,1
281,2023-04-26,Web,2023-05-13,2,0,True,False,False,False,17,True,2
282,2023-03-16,Mobile,2023-11-22,30,0,False,False,False,False,251,True,0
283,2023-04-23,Mobile,2023-11-27,49,0,False,False,False,False,218,True,0
284,2023-04-14,Referral,2023-09-16,13,0,True,False,False,False,155,True,1
285,2023-12-06,Web,2024-09-27,2,0,False,False,False,False,296,True,2
286,2023-09-11,Mobile,2023-10-28,35,0,True,False,False,False,47,True,0
287,2023-08-15,Mobile,2023-12-11,12,0,False,False,False,False,118,True,0
288,2023-04-22,Mobile,2024-03-21,8,0,False,False,False,False,334,True,0
289,2023-04-09,Web,2023-07-03,35,0,True,False,False,False,85,True,2
290,2023-06-02,Web,2024-05-21,104,0,False,False,False,False,354,True,2
291,2023-12-15,Web,2024-05-08,41,0,False,False,False,False,145,True,2
292,2023-12-04,Mobile,2024-01-07,20,0,False,False,False,False,34,True,0
293,2023-07-13,Web,2023-08-16,27,10,True,False,False,True,34,False,2
294,2023-11-06,Mobile,2024-08-02,4,0,False,False,False,False,270,True,0
295,2023-06-12,Web,2023-09-23,50,0,True,False,False,False,103,True,2
296,2023-07-27,Referral,2023-11-02,27,0,False,False,False,False,98,True,1
297,2023-06-18,Referral,2024-01-19,101,0,False,False,False,False,215,True,1
298,2023-06-10,Mobile,2024-04-04,116,0,False,False,False,False,299,True,0
299,2023-03-09,Web,2023-04-19,13,10,True,False,False,True,41,False,2
300,2023-10-16,Web,2024-01-17,134,0,False,False,False,False,93,True,2
301,2023-10-04,Web,2024-06-19,94,0,False,False,False,False,259,True,2
302,2023-10-31,Web,2024-06-05,30,0,False,False,False,False,218,True,2
303,2023-05-15,Mobile,2023-06-02,12,0,True,False,False,False,18,True,0
304,2023-07-14,Mobile,2024-01-26,41,0,False,False,False,False,196,True,0
305,2023-05-08,Referral,2024-03-02,9,10,False,False,False,True,299,False,1
306,2023-02-02,Web,2023-08-07,29,0,True,False,False,False,186,True,2
307,2023-06-25,Mobile,2023-11-06,0,0,False,False,False,False,134,True,0
308,2023-01-22,Mobile,2023-09-07,29,0,True,False,False,False,228,True,0
309,2023-08-26,Mobile,2023-10-12,90,0,True,False,False,False,47,True,0
310,2023-06-07,Web,2023-12-09,8,0,False,False,False,False,185,True,2
311,2023-02-07,Mobile,2023-07-30,45,20,True,False,False,True,173,False,0
312,2023-08-18,Mobile,2024-05-12,10,20,False,False,False,True,268,False,0
313,2023-12-31,Mobile,2024-04-09,36,20,False,False,False,True,100,False,0
314,2023-02-20,Referral,2023-09-15,36,0,True,False,False,False,207,True,1
315,2023-09-21,Web,2024-08-11,6,20,False,False,False,True,325,False,2
316,2023-10-10,Web,2024-09-13,27,20,False,False,False,True,339,False,2
317,2023-01-27,Mobile,2023-04-09,58,50,True,False,False,True,72,False,0
318,2023-08-14,Mobile,2023-11-18,14,50,False,False,False,True,96,False,0
319,2023-10-04,Web,2024-06-30,37,0,False,False,False,False,270,True,2
320,2023-10-13,Mobile,2024-09-12,33,0,False,False,False,False,335,True,0
321,2023-04-07,Referral,2023-10-06,8,0,True,False,False,False,182,True,1
322,2023-10-11,Referral,2024-03-14,75,0,False,False,False,False,155,True,1
323,2023-11-13,Web,2024-09-29,24,20,False,False,False,True,321,False,2
324,2023-10-31,Referral,2023-12-21,13,10,False,False,False,True,51,False,1
325,2023-05-27,Mobile,2023-06-03,5,10,True,True,False,True,7,False,0
326,2023-01-04,Mobile,2023-04-21,19,0,True,False,False,False,107,True,0
327,2023-02-04,Mobile,2023-11-08,39,0,False,False,False,False,277,True,0
328,2023-07-11,Referral,2023-08-06,29,0,True,False,False,False,26,True,1
329,2023-02-18,Mobile,2023-06-18,38,0,True,False,False,False,120,True,0
330,2023-01-17,Web,2024-01-03,47,10,False,False,False,True,351,False,2
331,2023-06-21,Mobile,2023-10-07,17,20,True,False,False,True,108,False,0
332,2023-08-08,Mobile,2024-04-27,22,0,False,False,False,False,263,True,0
333,2023-06-07,Web,2024-04-14,128,50,False,False,False,True,312,False,2
334,2023-02-15,Referral,2023-12-14,103,0,False,False,False,False,302,True,1
335,2023-01-06,Mobile,2023-05-20,16,0,True,False,False,False,134,True,0
336,2023-04-09,Mobile,2024-02-02,34,0,False,False,False,False,299,True,0
337,2023-08-21,Web,2024-06-22,9,0,False,False,False,False,306,True,2
338,2023-02-06,Mobile,2023-03-30,4,50,True,False,False,True,52,False,0
339,2023-10-07,Web,2023-11-07,43,20,False,False,False,True,31,False,2
340,2023-12-15,Web,2024-01-03,17,0,False,False,False,False,19,True,2
341,2023-10-29,Mobile,2024-07-22,5,0,False,False,False,False,267,True,0
342,2023-06-30,Mobile,2024-04-27,42,0,False,False,False,False,302,True,0
343,2023-04-05,Mobile,2023-12-30,74,0,False,False,False,False,269,True,0
344,2023-04-09,Web,2023-08-25,81,0,True,False,False,False,138,True,2
345,2023-07-07,Mobile,2023-09-25,27,0,True,False,False,False,80,True,0
346,2023-04-26,Web,2023-05-30,19,0,True,False,False,False,34,True,2
347,2023-07-10,Referral,2024-06-18,4,0,False,False,False,False,344,True,1
348,2023-09-10,Mobile,2024-01-18,47,0,False,False,False,False,130,True,0
349,2023-06-10,Mobile,2023-09-06,87,0,True,False,False,False,88,True,0
350,2023-09-13,Web,2023-11-10,66,10,False,False,False,True,58,False,2
351,2023-11-19,Web,2024-09-01,41,50,False,False,False,True,287,False,2
352,2023-05-08,Referral,2024-04-16,0,0,False,False,False,False,344,True,1
353,2023-01-18,Web,2023-10-12,15,0,True,False,False,False,267,True,2
354,2023-10-08,Mobile,2024-10-06,15,0,False,False,False,False,364,True,0
355,2023-08-11,Mobile,2024-03-24,67,0,False,False,False,False,226,True,0
356,2023-02-23,Web,2024-01-21,2,0,False,False,False,False,332,True,2
357,2023-02-27,Referral,2023-03-05,22,50,True,True,False,True,6,False,1
358,2023-11-19,Mobile,2024-09-24,4,20,False,False,False,True,310,False,0
359,2023-12-26,Web,2024-05-24,32,0,False,False,False,False,150,True,2
360,2023-06-23,Web,2023-07-15,47,0,True,False,False,False,22,True,2
361,2023-10-07,Web,2023-10-27,30,0,True,False,False,False,20,True,2
362,2023-04-24,Referral,2024-03-01,47,0,False,False,False,False,312,True,1
363,2023-10-15,Mobile,2024-03-26,28,0,False,False,False,False,163,True,0
364,2023-12-08,Web,2024-11-16,6,0,False,False,False,False,344,True,2
