customer_number,customer_register_time,platform,last_login,total_purchase,redeemed_amount
58,2023-09-21,Web,2024-08-22,17,0
59,2023-02-04,Web,2023-11-28,0,0
60,2023-07-25,Mobile,2024-02-07,5,0
61,2023-03-22,Referral,2023-04-25,84,20
62,2023-02-19,Web,2023-12-18,25,0
63,2023-12-26,Web,2024-02-29,49,10
64,2023-01-02,Referral,2023-11-06,19,10
65,2023-02-23,Web,2024-02-02,54,0
66,2023-04-16,Web,2024-04-03,23,0
67,2023-09-17,Referral,2024-08-10,0,0
68,2023-11-06,Mobile,2024-09-07,68,0
69,2023-07-10,Web,2023-08-11,4,0
70,2023-08-06,Web,2023-10-26,17,0
71,2023-02-13,Web,2023-06-18,19,20
72,2023-06-11,Web,2023-06-18,1,20
73,2023-07-21,Referral,2023-08-31,1,0
74,2023-09-27,Mobile,2024-02-25,43,0
75,2023-12-17,Mobile,2024-03-22,10,20
76,2023-10-31,Referral,2024-10-08,15,50
77,2023-09-28,Mobile,2024-07-01,24,0
78,2023-08-03,Web,2023-11-02,14,10
79,2023-09-09,Mobile,2023-10-23,44,0
80,2023-07-09,Referral,2024-01-07,64,0
81,2023-10-23,Referral,2024-09-20,1,0
82,2023-08-01,Web,2024-05-16,30,20
83,2023-07-27,Mobile,2023-09-11,11,0
84,2023-08-25,Mobile,2024-06-09,26,10
85,2023-12-04,Referral,2024-02-12,19,0
86,2023-02-22,Web,2023-06-30,12,0
87,2023-10-07,Mobile,2024-03-04,2,0
88,2023-08-05,Referral,2023-12-07,24,0
89,2023-09-09,Mobile,2023-12-31,3,0
90,2023-07-07,Mobile,2023-10-11,5,0
91,2023-02-10,Web,2023-12-19,120,0
92,2023-06-06,Web,2023-08-09,11,0
93,2023-01-15,Web,2024-01-04,26,0
94,2023-10-28,Referral,2024-06-15,9,10
95,2023-03-06,Web,2023-11-05,60,0
96,2023-12-11,Mobile,2024-07-14,9,0
97,2023-11-23,Mobile,2024-03-04,13,10
98,2023-01-09,Web,2023-01-27,28,0
99,2023-12-10,Mobile,2024-07-19,61,0
100,2023-05-09,Mobile,2023-10-30,50,0
101,2023-05-16,Referral,2024-03-22,9,0
102,2023-03-04,Mobile,2023-12-13,53,0
103,2023-05-19,Mobile,2023-12-19,36,0
104,2023-03-22,Web,2023-12-07,137,0
105,2023-06-12,Referral,2023-12-04,82,0
106,2023-10-16,Web,2024-01-01,22,0
107,2023-09-18,Mobile,2024-02-16,41,0
108,2023-08-19,Web,2024-07-28,25,0
109,2023-02-10,Referral,2023-12-28,27,10
110,2023-01-28,Mobile,2023-05-18,3,0
111,2023-05-15,Mobile,2023-08-21,0,0
112,2023-07-20,Web,2023-09-25,1,50
113,2023-11-24,Mobile,2024-04-30,102,20
114,2023-09-25,Mobile,2024-06-10,4,0
115,2023-02-02,Mobile,2024-01-23,1,0
116,2023-02-17,Web,2023-03-28,11,0
117,2023-03-03,Referral,2024-01-24,26,50
118,2023-08-04,Referral,2024-06-15,88,0
119,2023-10-20,Web,2024-08-15,36,0
120,2023-04-09,Referral,2023-12-22,9,20
121,2023-06-21,Mobile,2023-11-29,83,0
122,2023-12-26,Mobile,2024-05-12,1,0
123,2023-08-02,Web,2023-12-13,115,0
124,2023-02-04,Mobile,2023-11-15,1,50
125,2023-08-15,Mobile,2024-08-11,42,50
126,2023-04-11,Mobile,2023-12-23,1,0
127,2023-05-11,Mobile,2023-09-27,80,0
128,2023-09-14,Mobile,2024-08-14,3,0
129,2023-01-05,Mobile,2023-01-20,1,0
130,2023-08-06,Web,2024-05-28,66,0
131,2023-09-12,Referral,2024-02-11,3,0
132,2023-12-25,Mobile,2024-11-12,47,0
133,2023-10-10,Web,2024-01-02,41,0
134,2023-07-26,Web,2024-02-06,27,0
135,2023-01-15,Mobile,2023-12-29,14,0
136,2023-12-12,Referral,2024-01-15,74,50
137,2023-02-11,Web,2024-02-09,61,0
138,2023-06-28,Mobile,2024-02-16,16,0
139,2023-03-04,Web,2023-05-31,7,0
140,2023-12-18,Mobile,2024-05-20,9,0
141,2023-08-19,Referral,2024-02-28,7,10
142,2023-08-29,Mobile,2023-09-23,23,0
143,2023-02-21,Web,2023-04-03,60,20
144,2023-04-06,Mobile,2023-12-12,44,20
145,2023-08-10,Web,2024-05-23,47,0
146,2023-08-19,Mobile,2023-12-03,17,0
147,2023-08-25,Mobile,2024-06-18,11,0
148,2023-05-23,Mobile,2024-01-14,42,20
149,2023-06-20,Web,2024-05-05,47,0
150,2023-01-29,Referral,2023-12-25,35,50
151,2023-02-05,Mobile,2023-11-24,0,0
152,2023-01-13,Web,2023-12-19,26,0
153,2023-06-09,Mobile,2024-02-13,12,0
154,2023-11-23,Mobile,2024-05-22,6,0
155,2023-07-06,Mobile,2024-02-08,35,0
156,2023-08-31,Mobile,2024-08-27,9,0
157,2023-03-27,Mobile,2023-07-11,73,0
158,2023-10-11,Web,2024-07-27,10,0
159,2023-03-07,Referral,2023-04-02,24,0
160,2023-06-19,Mobile,2023-07-12,52,0
161,2023-02-14,Web,2023-12-02,15,0
162,2023-03-03,Mobile,2023-12-08,52,10
163,2023-05-14,Referral,2023-10-12,38,0
164,2023-10-11,Referral,2023-11-24,76,0
165,2023-01-28,Web,2023-07-18,11,0
166,2023-04-18,Web,2023-07-22,3,0
167,2023-02-13,Mobile,2023-04-30,16,0
168,2023-12-06,Web,2024-09-18,46,20
169,2023-10-13,Referral,2024-09-16,17,0
170,2023-11-27,Web,2024-04-19,9,50
171,2023-05-08,Web,2024-01-06,0,0
172,2023-12-14,Mobile,2024-03-05,11,20
173,2023-08-19,Web,2024-03-09,37,0
174,2023-07-09,Mobile,2023-07-30,4,0
175,2023-08-13,Mobile,2024-03-22,12,0
176,2023-10-10,Web,2024-05-30,0,0
177,2023-05-01,Web,2024-04-09,38,20
178,2023-04-26,Mobile,2023-09-15,63,10
179,2023-08-21,Web,2024-01-19,25,0
180,2023-09-16,Mobile,2024-04-17,0,0
181,2023-12-25,Mobile,2024-06-04,7,0
182,2023-07-17,Mobile,2023-12-21,17,50
183,2023-05-17,Referral,2024-04-29,26,0
184,2023-11-14,Referral,2024-10-13,20,10
185,2023-06-14,Referral,2024-06-10,74,0
186,2023-08-13,Web,2024-08-03,83,10
187,2023-11-03,Web,2024-04-18,3,0
188,2023-08-22,Web,2024-06-28,4,0
189,2023-06-21,Referral,2023-10-04,13,0
190,2023-06-01,Referral,2024-04-27,16,0
191,2023-11-11,Referral,2024-10-07,26,0
192,2023-06-09,Web,2023-11-15,44,10
193,2023-04-06,Referral,2023-04-20,4,0
194,2023-08-21,Mobile,2024-08-12,48,50
195,2023-06-29,Web,2024-01-02,28,0
196,2023-04-23,Mobile,2023-09-08,118,0
197,2023-11-14,Web,2023-11-24,31,50
198,2023-02-21,Mobile,2024-01-24,37,0
199,2023-09-25,Web,2024-08-27,6,0
200,2023-10-22,Mobile,2024-07-10,43,0
201,2023-04-23,Mobile,2023-11-24,2,50
202,2023-04-11,Referral,2023-06-05,32,10
203,2023-04-23,Mobile,2023-09-21,1,10
204,2023-03-22,Mobile,2023-08-01,3,50
205,2023-07-06,Referral,2024-03-24,3,0
206,2023-04-23,Referral,2023-06-17,1,0
207,2023-01-02,Web,2023-06-09,11,0
208,2023-05-10,Mobile,2023-07-23,155,10
209,2023-08-08,Web,2024-05-14,12,10
210,2023-02-23,Web,2023-12-03,42,0
211,2023-12-09,Mobile,2024-10-18,4,0
212,2023-08-12,Referral,2023-12-28,18,20
213,2023-08-13,Web,2024-03-24,6,0
214,2023-05-06,Referral,2023-10-20,6,0
215,2023-05-10,Referral,2023-09-27,3,0
216,2023-02-22,Referral,2023-04-24,16,50
217,2023-06-21,Web,2023-12-19,2,0
218,2023-08-06,Referral,2023-12-03,72,0
219,2023-06-09,Web,2023-11-09,17,0
220,2023-07-17,Mobile,2024-03-18,54,0
221,2023-09-04,Web,2024-01-09,116,0
222,2023-11-20,Web,2024-09-11,33,20
223,2023-07-22,Mobile,2024-06-17,69,0
224,2023-07-03,Mobile,2023-09-14,4,20
225,2023-05-03,Web,2024-03-16,53,0
226,2023-09-12,Web,2023-11-18,9,50
227,2023-10-21,Mobile,2024-06-02,19,0
228,2023-10-07,Web,2023-10-27,31,0
229,2023-11-21,Referral,2024-02-11,70,0
230,2023-04-08,Web,2023-08-12,72,0
231,2023-07-17,Web,2024-04-04,2,0
232,2023-08-28,Web,2024-04-05,13,0
233,2023-05-24,Mobile,2023-09-19,47,0
234,2023-04-07,Web,2023-09-04,36,20
235,2023-07-20,Web,2024-03-17,0,0
236,2023-05-04,Referral,2023-08-02,17,0
237,2023-07-06,Mobile,2023-12-24,53,0
238,2023-11-22,Web,2024-04-03,40,0
239,2023-12-15,Mobile,2024-06-01,15,0
240,2023-09-16,Referral,2024-06-23,39,0
241,2023-05-28,Web,2024-02-13,24,0
242,2023-09-09,Web,2024-01-23,73,0
243,2023-12-12,Mobile,2024-02-12,26,10
244,2023-05-27,Mobile,2024-02-12,15,0
245,2023-05-28,Mobile,2023-10-20,59,0
246,2023-12-18,Web,2024-06-13,1,50
247,2023-07-18,Web,2024-01-13,69,0
248,2023-11-04,Mobile,2024-06-04,35,0
249,2023-05-08,Web,2023-12-02,84,20
250,2023-02-08,Mobile,2023-02-19,8,0
251,2023-12-04,Mobile,2024-01-28,35,0
252,2023-12-26,Web,2024-09-14,49,0
253,2023-05-09,Referral,2023-11-07,36,0
254,2023-09-24,Referral,2023-10-29,7,20
255,2023-05-31,Mobile,2024-05-25,9,10
256,2023-10-25,Web,2024-09-11,25,0
257,2023-04-09,Web,2023-09-14,17,50
258,2023-09-20,Mobile,2023-11-18,39,0
259,2023-09-09,Web,2024-02-16,14,0
260,2023-05-24,Referral,2023-07-11,58,50
261,2023-12-12,Web,2024-03-06,16,0
262,2023-04-22,Mobile,2023-10-09,1,0
263,2023-03-01,Web,2023-04-04,0,0
264,2023-01-02,Mobile,2023-11-24,31,50
265,2023-10-31,Web,2024-03-19,23,0
266,2023-09-11,Mobile,2023-09-29,23,0
267,2023-05-20,Web,2024-05-15,46,0
268,2023-02-06,Referral,2023-05-27,14,0
269,2023-06-09,Web,2024-06-06,161,0
270,2023-01-09,Referral,2023-11-27,87,50
271,2023-08-21,Referral,2023-11-08,0,10
272,2023-04-09,Web,2023-07-01,67,50
273,2023-05-27,Mobile,2023-12-11,34,0
274,2023-10-31,Web,2024-02-08,20,0
275,2023-07-27,Referral,2023-09-09,26,0
276,2023-05-11,Mobile,2024-01-26,55,20
277,2023-06-01,Web,2023-09-20,90,50
278,2023-02-23,Web,2023-03-16,24,50
279,2023-04-30,Web,2023-05-19,6,0
280,2023-06-10,Referral,2024-03-12,30,0
281,2023-04-26,Web,2023-05-13,2,0
282,2023-03-16,Mobile,2023-11-22,30,0
283,2023-04-23,Mobile,2023-11-27,49,0
284,2023-04-14,Referral,2023-09-16,13,0
285,2023-12-06,Web,2024-09-27,2,0
286,2023-09-11,Mobile,2023-10-28,35,0
287,2023-08-15,Mobile,2023-12-11,12,0
288,2023-04-22,Mobile,2024-03-21,8,0
289,2023-04-09,Web,2023-07-03,35,0
290,2023-06-02,Web,2024-05-21,104,0
291,2023-12-15,Web,2024-05-08,41,0
292,2023-12-04,Mobile,2024-01-07,20,0
293,2023-07-13,Web,2023-08-16,27,10
294,2023-11-06,Mobile,2024-08-02,4,0
295,2023-06-12,Web,2023-09-23,50,0
296,2023-07-27,Referral,2023-11-02,27,0
297,2023-06-18,Referral,2024-01-19,101,0
298,2023-06-10,Mobile,2024-04-04,116,0
299,2023-03-09,Web,2023-04-19,13,10
300,2023-10-16,Web,2024-01-17,134,0
301,2023-10-04,Web,2024-06-19,94,0
302,2023-10-31,Web,2024-06-05,30,0
303,2023-05-15,Mobile,2023-06-02,12,0
304,2023-07-14,Mobile,2024-01-26,41,0
305,2023-05-08,Referral,2024-03-02,9,10
306,2023-02-02,Web,2023-08-07,29,0
307,2023-06-25,Mobile,2023-11-06,0,0
308,2023-01-22,Mobile,2023-09-07,29,0
309,2023-08-26,Mobile,2023-10-12,90,0
310,2023-06-07,Web,2023-12-09,8,0
311,2023-02-07,Mobile,2023-07-30,45,20
312,2023-08-18,Mobile,2024-05-12,10,20
313,2023-12-31,Mobile,2024-04-09,36,20
314,2023-02-20,Referral,2023-09-15,36,0
315,2023-09-21,Web,2024-08-11,6,20
316,2023-10-10,Web,2024-09-13,27,20
317,2023-01-27,Mobile,2023-04-09,58,50
318,2023-08-14,Mobile,2023-11-18,14,50
319,2023-10-04,Web,2024-06-30,37,0
320,2023-10-13,Mobile,2024-09-12,33,0
321,2023-04-07,Referral,2023-10-06,8,0
322,2023-10-11,Referral,2024-03-14,75,0
323,2023-11-13,Web,2024-09-29,24,20
324,2023-10-31,Referral,2023-12-21,13,10
325,2023-05-27,Mobile,2023-06-03,5,10
326,2023-01-04,Mobile,2023-04-21,19,0
327,2023-02-04,Mobile,2023-11-08,39,0
328,2023-07-11,Referral,2023-08-06,29,0
329,2023-02-18,Mobile,2023-06-18,38,0
330,2023-01-17,Web,2024-01-03,47,10
331,2023-06-21,Mobile,2023-10-07,17,20
332,2023-08-08,Mobile,2024-04-27,22,0
333,2023-06-07,Web,2024-04-14,128,50
334,2023-02-15,Referral,2023-12-14,103,0
335,2023-01-06,Mobile,2023-05-20,16,0
336,2023-04-09,Mobile,2024-02-02,34,0
337,2023-08-21,Web,2024-06-22,9,0
338,2023-02-06,Mobile,2023-03-30,4,50
339,2023-10-07,Web,2023-11-07,43,20
340,2023-12-15,Web,2024-01-03,17,0
341,2023-10-29,Mobile,2024-07-22,5,0
342,2023-06-30,Mobile,2024-04-27,42,0
343,2023-04-05,Mobile,2023-12-30,74,0
344,2023-04-09,Web,2023-08-25,81,0
345,2023-07-07,Mobile,2023-09-25,27,0
346,2023-04-26,Web,2023-05-30,19,0
347,2023-07-10,Referral,2024-06-18,4,0
348,2023-09-10,Mobile,2024-01-18,47,0
349,2023-06-10,Mobile,2023-09-06,87,0
350,2023-09-13,Web,2023-11-10,66,10
351,2023-11-19,Web,2024-09-01,41,50
352,2023-05-08,Referral,2024-04-16,0,0
353,2023-01-18,Web,2023-10-12,15,0
354,2023-10-08,Mobile,2024-10-06,15,0
355,2023-08-11,Mobile,2024-03-24,67,0
356,2023-02-23,Web,2024-01-21,2,0
357,2023-02-27,Referral,2023-03-05,22,50
358,2023-11-19,Mobile,2024-09-24,4,20
359,2023-12-26,Web,2024-05-24,32,0
360,2023-06-23,Web,2023-07-15,47,0
361,2023-10-07,Web,2023-10-27,30,0
362,2023-04-24,Referral,2024-03-01,47,0
363,2023-10-15,Mobile,2024-03-26,28,0
364,2023-12-08,Web,2024-11-16,6,0
365,2023-05-31,Web,2024-05-21,14,0
366,2023-05-07,Mobile,2024-03-04,94,20
367,2023-06-04,Mobile,2024-01-03,10,0
368,2023-09-30,Mobile,2024-04-26,1,0
369,2023-04-14,Web,2023-08-09,14,0
370,2023-10-26,Web,2024-04-25,13,0
371,2023-09-03,Mobile,2024-04-03,19,0
372,2023-06-25,Referral,2023-10-31,24,0
373,2023-02-08,Web,2023-02-27,146,20
374,2023-06-19,Mobile,2024-06-03,42,20
375,2023-09-04,Mobile,2024-07-02,1,20
376,2023-01-26,Mobile,2023-03-16,37,0
377,2023-12-21,Web,2024-03-28,52,0
378,2023-11-02,Referral,2024-02-21,67,10
379,2023-01-13,Mobile,2023-10-22,16,0
380,2023-11-12,Mobile,2024-03-23,11,0
381,2023-11-09,Web,2023-12-21,54,0
382,2023-02-05,Web,2023-05-17,45,0
383,2023-06-22,Web,2024-01-10,23,20
384,2023-01-20,Mobile,2023-08-04,3,0
385,2023-11-17,Web,2024-11-12,31,10
386,2023-09-21,Mobile,2023-10-02,2,0
387,2023-05-22,Web,2023-07-09,3,50
388,2023-05-23,Mobile,2024-04-23,12,0
389,2023-04-02,Mobile,2023-04-13,13,50
390,2023-12-20,Web,2024-07-05,18,0
391,2023-11-18,Web,2024-10-03,12,50
392,2023-10-15,Web,2023-10-20,1,0
393,2023-08-03,Mobile,2023-10-08,5,0
394,2023-12-08,Mobile,2024-11-19,3,0
395,2023-02-20,Web,2023-05-24,16,10
396,2023-06-02,Mobile,2023-06-24,7,50
397,2023-07-05,Web,2023-10-25,10,10
398,2023-03-04,Web,2023-07-21,19,0
399,2023-07-09,Web,2024-05-18,8,0
400,2023-05-05,Referral,2023-07-15,8,0
401,2023-05-30,Web,2023-09-04,53,0
402,2023-11-10,Web,2024-03-31,23,0
403,2023-02-27,Web,2023-09-08,58,20
404,2023-12-08,Web,2024-02-09,21,20
405,2023-11-01,Mobile,2024-05-10,71,50
406,2023-06-29,Web,2024-02-23,8,0
407,2023-06-19,Web,2023-08-31,28,0
408,2023-11-22,Mobile,2024-03-03,20,0
409,2023-09-28,Web,2023-10-10,75,0
410,2023-02-23,Mobile,2024-01-04,16,0
411,2023-04-11,Mobile,2023-08-27,57,20
412,2023-09-21,Web,2023-11-20,24,0
413,2023-02-22,Mobile,2024-02-21,36,0
414,2023-03-01,Web,2023-06-27,65,20
415,2023-04-18,Mobile,2023-07-19,173,50
416,2023-01-05,Mobile,2023-05-27,39,10
417,2023-04-13,Web,2023-08-03,11,0
418,2023-07-15,Mobile,2023-08-11,10,0
419,2023-09-19,Referral,2024-02-14,11,0
420,2023-12-31,Referral,2024-12-26,3,50
421,2023-12-16,Mobile,2024-05-12,1,0
422,2023-02-16,Mobile,2023-04-17,26,50
423,2023-12-21,Web,2024-04-11,49,50
424,2023-11-07,Web,2024-10-27,1,20
425,2023-11-04,Mobile,2023-11-14,25,0
426,2023-05-24,Web,2023-06-27,13,0
427,2023-09-26,Referral,2024-08-02,66,10
428,2023-05-04,Web,2024-04-17,4,20
429,2023-04-16,Web,2023-08-25,24,50
430,2023-06-07,Web,2024-04-08,106,0
431,2023-05-27,Referral,2023-09-29,12,10
432,2023-05-25,Mobile,2023-09-05,40,0
433,2023-04-30,Mobile,2023-10-17,64,0
434,2023-11-15,Web,2024-10-09,6,0
435,2023-10-02,Referral,2024-08-20,146,0
436,2023-04-02,Web,2023-12-03,49,0
437,2023-02-27,Referral,2023-04-22,4,0
438,2023-12-12,Mobile,2024-09-09,11,0
439,2023-08-17,Web,2024-07-11,29,0
440,2023-04-27,Mobile,2023-07-13,64,0
441,2023-11-14,Mobile,2024-09-13,6,0
442,2023-10-06,Web,2023-12-01,39,50
443,2023-05-07,Referral,2024-01-31,9,20
444,2023-05-09,Mobile,2023-12-26,49,20
445,2023-02-27,Web,2023-09-12,34,0
446,2023-05-02,Web,2023-12-31,22,0
447,2023-01-01,Mobile,2023-01-15,31,20
448,2023-08-27,Mobile,2024-06-28,62,0
449,2023-10-17,Mobile,2024-10-14,14,0
450,2023-04-06,Mobile,2023-11-24,43,0
451,2023-05-06,Mobile,2024-02-27,5,0
452,2023-04-28,Referral,2023-06-23,36,20
453,2023-02-17,Mobile,2023-10-19,41,20
454,2023-03-30,Referral,2023-07-11,17,50
455,2023-08-25,Web,2023-11-18,47,50
456,2023-09-29,Web,2023-10-16,24,0
457,2023-07-08,Web,2024-07-03,82,0
458,2023-07-11,Mobile,2023-11-20,3,0
459,2023-03-10,Referral,2024-01-12,4,0
460,2023-10-05,Web,2023-10-20,55,0
461,2023-12-15,Web,2024-03-09,55,20
462,2023-09-04,Referral,2024-05-26,19,0
463,2023-03-17,Web,2023-03-27,99,10
464,2023-06-03,Mobile,2024-01-15,34,0
465,2023-05-24,Mobile,2024-03-21,121,0
466,2023-03-27,Referral,2023-06-20,22,10
467,2023-07-04,Web,2023-07-11,6,20
468,2023-10-12,Web,2023-12-15,17,10
469,2023-08-08,Mobile,2024-03-20,118,10
470,2023-03-10,Referral,2024-02-26,13,0
471,2023-02-16,Mobile,2023-04-10,94,50
472,2023-04-04,Web,2023-11-22,47,0
473,2023-08-26,Mobile,2024-06-15,17,20
474,2023-07-23,Referral,2024-05-15,23,20
475,2023-08-06,Referral,2024-06-03,28,0
476,2023-12-07,Referral,2024-06-21,32,50
477,2023-02-08,Web,2023-10-27,2,50
478,2023-04-10,Web,2023-07-26,81,0
479,2023-10-16,Mobile,2024-03-14,27,10
480,2023-09-11,Referral,2024-07-01,80,50
481,2023-08-10,Web,2024-04-27,29,0
482,2023-12-23,Web,2024-10-31,16,50
483,2023-01-23,Mobile,2023-11-01,25,0
484,2023-09-07,Web,2024-03-18,53,20
485,2023-01-10,Web,2023-07-11,11,0
486,2023-09-03,Mobile,2023-09-23,94,0
487,2023-11-21,Mobile,2024-02-19,18,20
488,2023-04-10,Mobile,2023-12-18,93,0
489,2023-10-17,Web,2024-05-25,63,0
490,2023-06-29,Mobile,2023-08-14,43,0
491,2023-08-11,Mobile,2024-02-25,18,0
492,2023-09-07,Mobile,2024-08-03,26,0
493,2023-05-27,Mobile,2023-11-10,54,0
494,2023-04-06,Web,2024-01-11,23,0
495,2023-09-14,Web,2024-01-26,40,0
496,2023-11-21,Web,2024-08-14,46,0
497,2023-01-04,Web,2023-07-04,21,0
498,2023-01-16,Mobile,2023-10-12,23,0
499,2023-10-07,Referral,2023-11-07,6,0
500,2023-12-02,Mobile,2024-02-29,8,0
501,2023-09-04,Mobile,2024-03-22,70,10
502,2023-09-15,Web,2024-07-31,55,0
503,2023-06-09,Mobile,2024-02-11,0,0
504,2023-12-06,Web,2024-11-16,61,0
505,2023-06-01,Web,2023-11-29,0,0
506,2023-06-27,Web,2023-11-08,18,20
507,2023-06-12,Mobile,2023-11-08,2,0
508,2023-02-02,Referral,2023-04-30,104,0
509,2023-06-28,Web,2024-06-26,107,0
510,2023-04-11,Web,2023-07-12,28,50
511,2023-09-25,Mobile,2023-10-19,14,0
512,2023-11-19,Web,2024-07-10,21,0
513,2023-03-06,Referral,2023-07-14,43,50
514,2023-06-17,Mobile,2024-06-09,7,0
515,2023-11-26,Referral,2024-01-20,17,10
516,2023-02-12,Mobile,2023-05-15,40,0
517,2023-02-13,Mobile,2023-08-06,15,0
518,2023-10-12,Mobile,2023-12-18,0,0
519,2023-01-12,Mobile,2023-04-15,21,0
520,2023-04-05,Mobile,2023-10-15,40,0
521,2023-10-29,Web,2024-05-10,112,50
522,2023-09-10,Mobile,2023-12-12,1,0
523,2023-08-30,Mobile,2024-08-16,23,10
524,2023-02-04,Referral,2024-01-06,17,0
525,2023-08-03,Mobile,2023-09-02,8,50
526,2023-12-03,Mobile,2024-05-31,30,50
527,2023-03-31,Web,2023-12-24,5,0
528,2023-09-21,Mobile,2023-11-06,10,0
529,2023-04-03,Mobile,2023-08-04,45,10
530,2023-03-31,Referral,2023-09-20,18,0
531,2023-04-25,Referral,2023-08-15,151,10
532,2023-04-15,Web,2023-09-13,14,50
533,2023-07-15,Referral,2024-01-11,18,0
534,2023-11-10,Web,2024-05-21,10,20
535,2023-04-24,Web,2023-10-05,8,0
536,2023-03-16,Mobile,2024-01-16,76,0
537,2023-08-05,Web,2024-07-22,41,0
538,2023-10-04,Mobile,2023-12-21,12,0
539,2023-09-06,Web,2024-08-27,36,0
540,2023-06-13,Web,2023-07-05,101,0
541,2023-12-23,Mobile,2024-05-15,2,10
542,2023-07-11,Mobile,2023-11-07,9,0
543,2023-08-15,Referral,2024-07-12,6,0
544,2023-06-26,Mobile,2024-02-10,61,0
545,2023-04-09,Mobile,2023-05-29,5,0
546,2023-02-05,Web,2023-03-19,11,0
547,2023-04-06,Web,2023-11-02,23,0
548,2023-06-01,Web,2023-06-14,29,10
549,2023-05-31,Mobile,2024-02-12,49,0
550,2023-07-09,Mobile,2023-10-29,15,20
551,2023-08-12,Mobile,2023-11-22,22,0
552,2023-02-06,Mobile,2023-11-12,100,10
553,2023-09-25,Mobile,2023-12-09,10,0
554,2023-07-02,Web,2023-08-14,8,0
555,2023-01-13,Web,2023-11-11,37,10
556,2023-10-06,Referral,2024-01-08,44,10
557,2023-08-05,Mobile,2024-03-15,16,0
558,2023-12-21,Referral,2024-04-10,7,50
559,2023-12-27,Web,2024-04-05,45,10
560,2023-10-13,Referral,2023-11-18,33,0
561,2023-09-30,Web,2024-02-07,62,0
562,2023-03-03,Web,2023-08-01,55,0
563,2023-03-25,Referral,2024-01-03,6,0
564,2023-08-05,Web,2023-09-02,53,0
565,2023-12-08,Mobile,2024-07-08,5,0
566,2023-07-06,Web,2023-11-07,59,0
567,2023-01-19,Mobile,2023-10-24,44,0
568,2023-06-26,Referral,2023-11-17,25,0
569,2023-04-10,Web,2024-02-05,30,0
570,2023-08-21,Mobile,2024-08-02,3,0
571,2023-03-17,Web,2023-06-11,1,0
572,2023-09-22,Mobile,2024-04-21,12,0
573,2023-10-11,Web,2023-11-17,51,10
574,2023-07-25,Web,2023-08-22,18,50
575,2023-08-11,Web,2023-10-15,7,0
576,2023-02-21,Web,2024-01-02,53,0
577,2023-12-05,Referral,2024-06-15,7,0
578,2023-05-24,Web,2023-08-20,50,0
579,2023-03-10,Web,2023-10-25,18,0
580,2023-04-09,Mobile,2023-09-28,18,0
